Script;Comment;Input;Model;Training sq error;Training MSE; Training RMSE; Training NRMSE; Training se;Validation error; Validation MSE; Validation RMSE;Validation NRMSE;Validation R2;Testing se;Testing MSE;Testing RMSE;Testing NRMSE;Testing R2
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-9_-12_-10";"regression_tree_rpartlib";"130355939022506";"40227106626.2942";"200566.962948274";"0.574051978114625";"0.670464326422686";"175433780884843";"54137874057.9672";"232675.469394535";"0.665951218990782";"0.556508973924692";"500337370000909";"66169063016.7175";"257233.479579773";"0.687012032084002";"0.52801446777181"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-9_-12_-13";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101376708434216";"31284279720.4802";"176873.626412985";"0.506238184126402";"0.743722900932403";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs";"regression_tree_rpartlib";"80208559692221.1";"24751908561.0928";"157327.392913926";"0.450294005484582";"0.797235308624651";"103221414264273";"31853545522.0716";"178475.616043401";"0.510823312717578";"0.739059543184239";"328347131076986";"43423544412.7469";"208383.167297042";"0.556543974955033";"0.690258803941251"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -9";"regression_tree_rpartlib";"80208559692221.1";"24751908561.0928";"157327.392913926";"0.450294005484582";"0.797235308624651";"103221414264273";"31853545522.0716";"178475.616043401";"0.510823312717578";"0.739059543184239";"328347131076986";"43423544412.7469";"208383.167297042";"0.556543974955033";"0.690258803941251"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -10";"regression_tree_rpartlib";"105333500440244";"32505323388.4414";"180292.327591724";"0.516023006837926";"0.733720256413946";"150061160738860";"46308026767.1224";"215192.998880359";"0.61591383180862";"0.620650151786823";"429057024623617";"56742316289.5744";"238206.457279341";"0.63619518943785";"0.595255680936138"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101356097018114";"31277919153.8694";"176855.644959016";"0.506186718575601";"0.743775005937666";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -12";"regression_tree_rpartlib";"80208559692221.1";"24751908561.0928";"157327.392913926";"0.450294005484582";"0.797235308624651";"103221414264273";"31853545522.0716";"178475.616043401";"0.510823312717578";"0.739059543184239";"328347131076986";"43423544412.7469";"208383.167297042";"0.556543974955033";"0.690258803941251"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -13";"regression_tree_rpartlib";"80208559692221.1";"24751908561.0928";"157327.392913926";"0.450294005484582";"0.797235308624651";"103242025680376";"31859906088.6825";"178493.434301328";"0.510874311177439";"0.739007438178977";"328347131076986";"43423544412.7469";"208383.167297042";"0.556543974955033";"0.690258803941251"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-9";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101356097018114";"31277919153.8694";"176855.644959016";"0.506186718575601";"0.743775005937666";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-10";"regression_tree_rpartlib";"129456672616252";"39949598091.7302";"199873.955511293";"0.572068489487191";"0.672737643335844";"173987505033128";"53691561497.648";"231714.396397047";"0.663200487528279";"0.560165113342253";"510425585418023";"67503218332.08";"259813.814744482";"0.693903519567905";"0.518497905531275"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-12";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101356097018114";"31277919153.8694";"176855.644959016";"0.506186718575601";"0.743775005937666";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-13";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101376708434216";"31284279720.4802";"176873.626412985";"0.506238184126402";"0.743722900932403";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-9_-10";"regression_tree_rpartlib";"129456672616252";"39949598091.7302";"199873.955511293";"0.572068489487191";"0.672737643335844";"173973373584423";"53687200612.3818";"231704.986162106";"0.663173554059761";"0.560200837195746";"510425585418023";"67503218332.08";"259813.814744482";"0.693903519567905";"0.518497905531275"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-9_-12";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101356097018114";"31277919153.8694";"176855.644959016";"0.506186718575601";"0.743775005937666";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-9_-13";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101376708434216";"31284279720.4802";"176873.626412985";"0.506238184126402";"0.743722900932403";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-9_-12_-10";"regression_tree_rpartlib";"130355939022506";"40227106626.2942";"200566.962948274";"0.574051978114625";"0.670464326422686";"175433780884843";"54137874057.9672";"232675.469394535";"0.665951218990782";"0.556508973924692";"500337370000909";"66169063016.7175";"257233.479579773";"0.687012032084002";"0.52801446777181"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs -11_-9_-12_-13";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101376708434216";"31284279720.4802";"176873.626412985";"0.506238184126402";"0.743722900932403";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
